제품명,거래처그룹,품목등급,추천_DOI기준,판단,P코드수,이니셜수,수요라인수,최초납기,오더수량,생산부족수량,사출부족수량,완제품재고,공정재고합계,사출재고,분리재고,검사접착재고,누수규격검사재고,DOI기준오더,DOI_가중,DOI_중앙값,DOI_최대,DOI_양수_P코드수,부족대비공정재고율,재고대비월수요율,우선순위점수
EYEQUE D_LOVE ME TENDER_202_LOVE,EYEQUE,C급 저회전/소량,0~30일,"생산확인: 완제품 DOI 없음, 부족 존재",6,1,6,2026-08-10,125,1265.0,0.0,10340.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,,785.5
Astra Estelle Gray,HEARTS/TopTrend,C급 저회전/소량,0~30일,유지/관찰,1,1,1,2026-08-24,40,424.0,424.0,40.0,0.0,0.0,0.0,0,0,753.0,9.614873837981408,9.614873837981408,9.614873837981408,1,0.0,0.05312084993359894,773.2
Tint Brown_1T_(PBT)PIA_M_(중)(Y),PIA,C급 저회전/소량,0~30일,공정대체 확인: WIP가 부족보다 큼,3,1,3,2026-08-20,300,498.0,208.0,372.0,6497.0,4642.0,1855.0,0,0,3800.0,17.718947368421052,14.9325,28.70142857142857,3,13.046184738955823,0.09789473684210526,735.8
PIA D Toric_Brown Bunny_55% UV,PIA,C급 저회전/소량,0~30일,유지/관찰,1,1,1,2026-08-20,100,408.0,408.0,680.0,0.0,0.0,0.0,0,0,3200.0,38.4625,38.4625,38.4625,1,0.0,0.2125,730.4000000000001
Mocha Ring_PIA_M_(중),PIA,C급 저회전/소량,0~30일,공정대체 확인: WIP가 부족보다 큼,2,1,2,2026-08-20,600,412.0,0.0,1001.0,3181.0,1811.0,1370.0,0,0,5400.0,33.55203703703704,33.02504120879121,47.25392857142857,2,7.720873786407767,0.18537037037037038,541.95
PIA D_Rosy Nougat_55% UV 14.5,PIA,C급 저회전/소량,0~30일,"생산확인: 완제품 DOI 없음, 부족 존재",1,1,1,2026-08-31,300,441.0,0.0,0.0,2310.0,0.0,0.0,2310,0,0.0,0.0,0.0,0.0,0,5.238095238095238,,531.0
PIA D_Nudie Beige_55% UV,PIA,C급 저회전/소량,0~30일,유지/관찰,1,1,1,2026-08-20,100,295.0,295.0,755.0,0.0,0.0,0.0,0,0,2200.0,62.11590909090909,62.11590909090909,62.11590909090909,1,0.0,0.3431818181818182,523.25
Garnet_PIA_M_(중)(Y),PIA,C급 저회전/소량,0~30일,공정대체 확인: WIP가 부족보다 큼,3,1,3,2026-08-20,500,333.0,0.0,679.0,18384.0,18384.0,0.0,0,0,5000.0,24.579800000000002,27.15,28.28125,3,55.207207207207205,0.1358,449.05
EYEQUE D_LOVE IS YOU_201_LOVE,EYEQUE,C급 저회전/재고과다,0~30일,생산지양: 저수요 대비 완제품 과다,2,1,2,2026-08-10,75,466.0,0.0,1225.0,4526.0,0.0,4526.0,0,0,750.0,295.6333333333333,139.97333333333333,139.97333333333333,1,9.71244635193133,1.6333333333333333,427.25
EYEQUE D_Crystal olive_304_S3,EYEQUE,C급 저회전/소량,0~30일,"생산확인: 완제품 DOI 없음, 부족 존재",4,1,4,2026-08-10,85,799.0,0.0,8420.0,21866.0,10205.0,11661.0,0,0,0.0,0.0,0.0,0.0,0,27.366708385481854,,403.5
