class,item_group,거래처그룹,제품명,order,shortage,inj_short,pcodes,fg,doi_order,wip,doi_median,doi_max,doi_pos,doi_weighted,stock_cover_order_days
1-DAY,1-Day_Color_Sph,PIA,PIA D_Air Gray_55% UV,200,118.0,118.0,1,1910.0,5200.0,0.0,66.48269230769232,66.48269230769232,1.0,66.48269230769232,286.5
1-DAY,1-Day_Color_Sph,PIA,(영문)PIA_1D 55% YakisobaPan_1T,150,1236.0,1236.0,1,455.0,1500.0,0.0,54.903333333333336,54.903333333333336,1.0,54.903333333333336,91.0
1-DAY,1-Day_Color_Sph,PIA,(영문)PIA D_SMOKEY GRAY_55%,150,1107.0,1107.0,1,560.0,2000.0,0.0,50.68000000000001,50.68000000000001,1.0,50.68000000000001,112.0
1-DAY,1-Day_Color_Sph,PIA,(영문)PIA D_TAMA KONNYAKU_55%,150,848.0,848.0,2,785.0,2500.0,0.0,21.72,43.44,1.0,56.834,157.0
1-DAY,1-Day_Color_Sph,PIA,(영문)PIA_1D 55% Espresso 14.5,150,589.0,589.0,3,1010.0,1500.0,0.0,66.065,83.26,2.0,121.87333333333333,202.0
1-DAY,1-Day_Color_Sph,OPTICAL SUPPLIES,BELLA_1-Day_Platinum Grey(8년),140,869.0,0.0,2,545.0,7900.0,0.0,20.324152542372882,36.2,2.0,12.486708860759494,116.78571428571428
1-DAY,1-Day_Color_Sph,EYEQUE,EYEQUE D_LOVE ME TRUE_203_LOVE,130,1174.0,0.0,6,5165.0,500.0,4703.0,0.0,304.08,2.0,1869.73,2277.230769230769
1-DAY,1-Day_Color_Sph,EYEQUE,EYEQUE D_LOVE ME TENDER_202_LOVE,125,1265.0,0.0,6,10340.0,0.0,0.0,0.0,0.0,0.0,0.0,2481.6
1-DAY,1-Day_Color_Sph,EYEQUE,EYEQUE D_PINK CHOC_106_LOVE,125,1219.0,177.0,7,7695.0,250.0,0.0,0.0,800.02,1.0,5571.18,1846.8000000000002
1-DAY,1-Day_Color_Sph,ESSILOR,Freedom380_4Care_BL Metha,120,1999.0,0.0,2,2705.0,1050.0,0.0,111.61666666666665,223.2333333333333,1.0,466.2904761904762,676.25
1-DAY,1-Day_Color_Sph,EYEQUE,EYEQUE D_Snow wink_302_S3,105,629.0,0.0,6,6895.0,1250.0,0.0,521.28,1469.7199999999998,5.0,998.396,1970.0000000000002
1-DAY,1-Day_Color_Sph,PIA,PIA_Hot Chocolate_55%_1-DAY,100,1095.0,1095.0,1,75.0,1200.0,0.0,11.3125,11.3125,1.0,11.3125,22.5
1-DAY,1-Day_Color_Sph,PIA,PIA D_Caramel Souffle_38% UV,100,930.0,930.0,1,195.0,3200.0,0.0,11.0296875,11.0296875,1.0,11.0296875,58.5
1-DAY,1-Day_Color_Toric,PIA,PIA_Strawberry Quartz CP-0.75 Toric_UV,100,904.0,904.0,1,290.0,1200.0,0.0,43.74166666666667,43.74166666666667,1.0,43.74166666666667,87.0
1-DAY,1-Day_Color_Toric,PIA,PIA D Toric_Brown Bunny_55% UV,100,408.0,408.0,1,680.0,3200.0,0.0,38.4625,38.4625,1.0,38.4625,204.0
1-DAY,1-Day_Color_Sph,PIA,PIA D_Cream Beige_14.4,100,334.0,0.0,1,9315.0,4600.0,641.0,366.525,366.525,1.0,366.525,2986.8
1-DAY,1-Day_Color_Sph,PIA,PIA D_Nudie Beige_55% UV,100,295.0,295.0,1,755.0,2200.0,0.0,62.11590909090909,62.11590909090909,1.0,62.11590909090909,226.5
1-DAY,1-Day_Color_Sph,PIA,PIA D_Spicy Queen_55% UV,100,293.0,0.0,1,710.0,7200.0,13718.0,17.84861111111111,17.84861111111111,1.0,17.84861111111111,4328.4
1-DAY,1-Day_Color_Sph,OPTICAL SUPPLIES,BELLA_HAZEL BEIGE(8년),100,212.0,212.0,1,10790.0,99940.0,0.0,19.54162497498499,19.54162497498499,1.0,19.54162497498499,3237.0
FRP,FRP_Color_Sph,PIA,Strawberry Quartz_PIA_M_(중)(Y),100,183.0,0.0,1,23.0,1000.0,1865.0,4.163,4.163,1.0,4.163,566.4
FRP,FRP_Color_Sph,PIA,Dazzle Gray_2T_(PBT)PIA_M_(중)(Y),100,154.0,0.0,1,251.0,1600.0,2343.0,28.394375,28.394375,1.0,28.394374999999997,778.2
FRP,FRP_Color_Sph,PIA,Princess Chocolat_PIA_M_(중)_14.5,100,130.0,130.0,1,107.0,1200.0,0.0,16.139166666666668,16.139166666666668,1.0,16.139166666666668,32.1
1-DAY,1-Day_Color_Sph,PIA,PIA D_Almond Brown_38% UV,100,106.0,106.0,1,910.0,200.0,0.0,823.55,823.55,1.0,823.55,273.0
1-DAY,1-Day_Color_Sph,PIA,PIA_Sheer Brown_55%_1-DAY,100,106.0,106.0,1,910.0,5200.0,0.0,31.675,31.675,1.0,31.674999999999997,273.0
FRP,FRP_Color_Sph,PIA,Idol Ring_PIA_M_(중)_14.5,100,106.0,106.0,1,126.0,600.0,0.0,38.01,38.01,1.0,38.01,37.8
FRP,FRP_Color_Sph,PIA,Tangerine Tea_3T_(PBT)PIA_M_(중)(Y),100,95.0,0.0,1,109.0,500.0,2653.0,39.458,39.458,1.0,39.458,828.6
FRP,FRP_Color_Sph,PIA,Lady Black_PIA_M_(중)_14.5,100,75.0,75.0,1,146.0,600.0,0.0,44.04333333333334,44.04333333333334,1.0,44.04333333333334,43.8
