P5,row_count,qty_sum_dashboard,qty_max_single_row,qty_first_single_row,?????,????
P7526,2,1304.0,1116.0,1116.0,BS0317,알루미늄리드지 (PIA_1M 38% MOLAK 리드지)
P1062,3,1264.0,569.0,569.0,BS0317,알루미늄리드지 (PIA_1M 38% MOLAK 리드지)
P4782,12,1263.0,311.0,156.0,BS0109,알루미늄리드지 (Clalen Astra Estelle_그레이)_유광
P7015,2,1187.0,617.0,570.0,BS0036,알루미늄리드지 (PIA 1Day)_유광 코팅
P2135,2,1172.0,664.0,508.0,BS0191,알루미늄리드지 (하파크리스틴_1Day Color)_유광 코팅
P4921,11,1170.0,268.0,56.0,BS0005,알루미늄리드지 (Monthly_무지)
P3060,1,1166.0,1166.0,1166.0,BS0073,알루미늄리드지 (일본 PIA 1day 55%)_유광 코팅
P1230,67,1125.0,86.0,0.0,BS0005,알루미늄리드지 (Monthly_무지)
P5388,3,1119.0,1036.0,0.0,BS0214,알루미늄리드지 (Bella 리뉴얼 원데이 리드지(아랍))_
P5407,3,1118.0,482.0,368.0,BS0005,알루미늄리드지 (Monthly_무지)
P0019,2,1088.0,715.0,715.0,BS0050,알루미늄리드지 (Iris_수지그레이)_무광 코팅
P7026,3,1074.0,886.0,886.0,BS0036,알루미늄리드지 (PIA 1Day)_유광 코팅
P7507,4,1044.0,788.0,788.0,BS0316,알루미늄리드지 (PIA_1M 38% LILMOON 리드지)
P1200,31,1020.0,153.0,19.0,BS0016,캡바이알(5cc)
P0118,2,985.0,684.0,301.0,BS0191,알루미늄리드지 (하파크리스틴_1Day Color)_유광 코팅
P4883,3,945.0,643.0,643.0,BS0073,알루미늄리드지 (일본 PIA 1day 55%)_유광 코팅
P5293,1,943.0,943.0,943.0,BS0054,알루미늄리드지 (국내/중국 원데이_아이리스)_무광 코
P3178,1,928.0,928.0,928.0,BS0073,알루미늄리드지 (일본 PIA 1day 55%)_유광 코팅
P3122,1,907.0,907.0,907.0,BS0073,알루미늄리드지 (일본 PIA 1day 55%)_유광 코팅
