P5,row_count,qty_sum_dashboard,qty_max_single_row,qty_first_single_row,?????,????
P5360,24,15319.0,10919.0,0.0,BS0219,알루미늄리드지 (한국_하파크리스틴(1M) 핑크 중사각
P0586,4,14506.0,12209.0,12209.0,BS0073,알루미늄리드지 (일본 PIA 1day 55%)_유광 코팅
P4340,44,14380.0,2735.0,0.0,BS0005,알루미늄리드지 (Monthly_무지)
P5337,26,14205.0,9495.0,0.0,BS0219,알루미늄리드지 (한국_하파크리스틴(1M) 핑크 중사각
P0513,5,13106.0,9769.0,9769.0,BS0073,알루미늄리드지 (일본 PIA 1day 55%)_유광 코팅
P1058,12,12979.0,2686.0,230.0,BS0299,알루미늄리드지 (러시아 OKVISION_MiracleView Sph)
P0113,8,12663.0,4808.0,4808.0,BS0286,알루미늄리드지 (하파크리스틴_1Day Color)_14.5 유광
P1301,35,11702.0,1088.0,348.0,BS0005,알루미늄리드지 (Monthly_무지)
P7012,8,11689.0,8516.0,8516.0,BS0145,알루미늄리드지 (일본 PIA 1day 38% mimuco)_유광 코
P4074,12,11189.0,4984.0,4984.0,BS0005,알루미늄리드지 (Monthly_무지)
P0235,7,10887.0,3788.0,3788.0,BS0057,알루미늄리드지 (Iris-알리샤브라운)_무광 코팅
P4712,10,10075.0,5346.0,5346.0,BS0275,알루미늄리드지?(태국?MG M_GLAM Russian Brown?중사
P3143,7,10032.0,5734.0,5734.0,BS0073,알루미늄리드지 (일본 PIA 1day 55%)_유광 코팅
P4370,71,9840.0,4719.0,200.0,BS0005,알루미늄리드지 (Monthly_무지)
P1042,1,9826.0,9826.0,9826.0,BS0073,알루미늄리드지 (일본 PIA 1day 55%)_유광 코팅
P7042,2,9744.0,9127.0,9127.0,BS0145,알루미늄리드지 (일본 PIA 1day 38% mimuco)_유광 코
P0247,9,9728.0,1875.0,407.0,BS0159,알루미늄리드지 (Bioxifilcon A Daily 공용 리드지)_
P0584,13,9723.0,4763.0,4763.0,BS0005,알루미늄리드지 (Monthly_무지)
P7021,5,9637.0,8495.0,8495.0,BS0145,알루미늄리드지 (일본 PIA 1day 38% mimuco)_유광 코
P7516,10,9503.0,5530.0,5530.0,BS0318,알루미늄리드지 (PIA_1M 38% feliamo 리드지)
P0603,5,9450.0,5678.0,5678.0,BS0248,알루미늄리드지 (일본 T-garden_1D 55% Cheritta)_유
P7035,21,9203.0,1417.0,1417.0,BS0337,알루미늄리드지 (PIA_1M 38% TOPARDS 리드지)
P0585,14,8915.0,5009.0,5009.0,BS0005,알루미늄리드지 (Monthly_무지)
P7538,7,8745.0,5007.0,5007.0,BS0337,알루미늄리드지 (PIA_1M 38% TOPARDS 리드지)
P3507,2,8456.0,4228.0,4228.0,BS0162,알루미늄리드지 (국내 OPTACON ZOOM 1-Day)_무광 코팅
P1085,11,8408.0,3849.0,3849.0,BS0270,알루미늄리드지 (태국 MG M_GLAM No.1 Hazel 중사각
